sender,receiver,cargo,tot_no_wagons,median_speed_km_day,avrg_money_UAH,avrg_tkm
станція ЗБІРНА,станція ДАРНИЦЯ,АНТРАЦИТ,1101,112,8529.152589,53400.09646
станція ЗБІРНА,станція ЧЕРНІГІВ,АНТРАЦИТ,670,124,8446.81791,55307.06866
станція РУТЧЕНКОВЕ,станція АВДІЇВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,1312,4,1407.956555,4199.150152
станція РУТЧЕНКОВЕ,станція МАКІЇВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,1207,18,2098.504557,6390.074565
станція РОЗСИПНА,станція НОВИЙ СВІТ,АНТРАЦИТ,959,30,1986.451512,6278.171011
станція РОЗСИПНА,станція ПЕЛАГІЇВСЬКИЙ,АНТРАЦИТ,439,2,833.4578588,348.8667426
станція РОЗСИПНА,станція ПОСТНИКОВЕ,АНТРАЦИТ,354,9,906.1892655,1318.267232
станція РОВЕНЬКИ,станція ФАЩІВКА,АНТРАЦИТ,344,35,1726.244186,4861.337209
станція РОДИНСЬКА,станція ЦУКУРИХА,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,929,14,1452.305705,2913.168999
станція РОДИНСЬКА,станція БАТУРИНСЬКА,КОНЦЕНТРАТ УГОЛЬНЫЙ,245,97,6180.191429,24901.42041
станція РОДИНСЬКА,станція БУРШТИН,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,3286,339,20079.59437,91178.91222
станція РОДИНСЬКА,станція ГУМЕНЦІ,КОНЦЕНТРАТ УГОЛЬНЫЙ,368,289,10809.97826,74964.48234
станція РОДИНСЬКА,станція ГОРЛІВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,201,76,6038.333333,33765.01493
станція РОДИНСЬКА,станція ДОБРОТВІР,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,730,263,21156.41781,85868.88753
станція РОДИНСЬКА,станція ЛИМАН,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,4863,113,6792.223504,27879.62554
станція РОДИНСЬКА,станція ЛАДИЖИН,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,765,393,12087.90418,51552.51216
станція РОДИНСЬКА,станція ЕНЕРГОДАР,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,720,146,11995.4225,29278.13042
станція РОДИНСЬКА,станція АВДІЇВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,732,20,1850.773224,4200.584699
станція РОДИНСЬКА,станція ЯМНИЦЯ,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,1515,278,13077.49637,94124.92673
станція РОДИНСЬКА,станція ЯСИНУВАТА,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,760,41,4637.565789,24094.61711
станція РОДИНСЬКА,станція КРИВИЙ РІГ-ГОЛОВНИЙ,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,1542,95,4539.879377,25703.91051
станція РОДИНСЬКА,станція КОМУНАРСЬК,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,655,45,3867.138931,19976.67176
станція РОДИНСЬКА,станція ОСНОВА,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,764,129,4894.129581,27172.23037
станція РОДИНСЬКА,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,938,350,17782.0791,47901.91578
станція РОДИНСЬКА,станція СВІТЛОДАРСЬКЕ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,11437,99,6991.923188,26662.24533
станція РОДИНСЬКА,станція САРТАНА,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,300,75,4963.613333,25693.80667
станція РОДИНСЬКА,станція ПОКРОВСЬК,УГОЛЬ КАМЕННЫЙ МАРКИ Ж-ЖИРНЫЙ,1435,5,934.7665505,679.5191638
станція РОСІЯ,станція ЗАПОРІЖЖЯ-ЛІВЕ,КОНЦЕНТРАТ УГОЛЬНЫЙ,231,80,3961.082251,17899.43247
станція РОСІЯ,станція ЛИМАН,КОНЦЕНТРАТ УГОЛЬНЫЙ,333,109,6549.895195,30280.0991
станція РОСІЯ,станція ЕНЕРГОДАР,КОНЦЕНТРАТ УГОЛЬНЫЙ,204,107,5533.568627,29826.01471
станція РОСІЯ,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,КОНЦЕНТРАТ УГОЛЬНЫЙ,324,118,13891.34877,49602.13364
станція РОСІЯ,станція СВІТЛОДАРСЬКЕ,КОНЦЕНТРАТ УГОЛЬНЫЙ,7390,85,6291.26728,26682.93694
станція РОСІЯ,станція ПОКРОВСЬК,КОНЦЕНТРАТ УГОЛЬНЫЙ,313,5,1187.13099,1511.603834
станція ЦУКУРИХА,станція ЕЛЕКТРИЧНА,ШЛАМ УГОЛЬНЫЙ,294,92,12193.73469,30444.64626
станція ЦУКУРИХА,станція ЕНЕРГОДАР,КОНЦЕНТРАТ УГОЛЬНЫЙ,364,73,7332.576923,30072.08791
станція ЦУКУРИХА,станція СВІТЛОДАРСЬКЕ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",460,27,2763.069565,11249.19565
станція ЦУКУРИХА,станція СВІТЛОДАРСЬКЕ,КОНЦЕНТРАТ УГОЛЬНЫЙ,8991,45,4326.763041,21807.56778
станція БЕРЕГОВА  (ЕКСП.),станція ЗЕЛЕНЕ ПОЛЕ,АНТРАЦИТ,1760,493,8110.351023,34265.9678
станція БЕРЕГОВА  (ЕКСП.),станція ЗАПОРІЖЖЯ-ЛІВЕ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",2278,369,15692.55465,51255.03011
станція БЕРЕГОВА  (ЕКСП.),станція ЗАПОРІЖЖЯ-КАМ’ЯНСЬКЕ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",1006,147,13057.41968,41036.25592
станція БЕРЕГОВА  (ЕКСП.),станція БУРШТИН,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",221,246.5,18886.69005,64362.10113
станція БЕРЕГОВА  (ЕКСП.),станція ДАРНИЦЯ,АНТРАЦИТ,1298,375,10381.93297,52173.38521
станція БЕРЕГОВА  (ЕКСП.),станція ДАРНИЦЯ,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,1485,375,7455.779798,52160.97051
станція БЕРЕГОВА  (ЕКСП.),станція ЛИМАН,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",870,409,10167.33563,56881.5269
станція БЕРЕГОВА  (ЕКСП.),станція ЛАДИЖИН,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",516,426,7140.759884,29592.51105
станція БЕРЕГОВА  (ЕКСП.),станція ЧЕРНІГІВ,АНТРАЦИТ,1396,316,12672.44484,65811.17048
станція БЕРЕГОВА  (ЕКСП.),станція ЧЕРНІГІВ,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,1542,474,8603.368353,65798.60817
станція БЕРЕГОВА  (ЕКСП.),станція ІГРЕНЬ,АНТРАЦИТ,278,319,6988.992806,44073.75144
станція БЕРЕГОВА  (ЕКСП.),станція ЕНЕРГОДАР,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",606,289,21658.44406,60351.71262
станція БЕРЕГОВА  (ЕКСП.),станція АВДІЇВКА,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",3896,292,19506.64671,60958.42956
станція БЕРЕГОВА  (ЕКСП.),станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,АНТРАЦИТ,557,328,6705.775583,45587.46571
станція БЕРЕГОВА  (ЕКСП.),станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",6296,328,9920.993281,45566.04549
станція БЕРЕГОВА  (ЕКСП.),станція САРТАНА,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",719,256,22672.35869,71301.01008
станція БЕРЕГОВА  (ЕКСП.),станція СУМИ,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,361,316,9045.537396,65663.96842
станція БЕРЕГОВА  (ЕКСП.),станція ПРАВДА,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",1774,310,13275.43269,43195.98848
станція БУЛАВИН,станція КРАМАТОРСЬК,АНТРАЦИТ,232,9,1949,6024.375
станція БУНКЕРНА,станція ЕЛЕКТРИЧНА,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,347,34,3015.230548,14277.33429
станція БУНКЕРНА,станція ЯМНИЦЯ,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,208,158,14109.125,109393.8558
станція БОГУСЛАВСЬКИЙ,станція РОДИНСЬКА,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,525,53,5185.082095,7311.01181
станція БОГУСЛАВСЬКИЙ,станція РОЯ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,2562,72,4557.616276,9276.403298
станція БОГУСЛАВСЬКИЙ,станція БУРШТИН,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,1598,417,23408.95707,86690.5423
станція БОГУСЛАВСЬКИЙ,станція ДОБРОПІЛЛЯ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,1168,63,5360.488613,8719.275514
станція БОГУСЛАВСЬКИЙ,станція ЛАДИЖИН,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,707,338,12063.77864,43934.15791
станція БОГУСЛАВСЬКИЙ,станція НОВОГРОДІВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,403,56,4793.799007,7717.578164
станція БОГУСЛАВСЬКИЙ,станція КРИВИЙ ТОРЕЦЬ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,295,235,6406.987119,16122.22559
станція БОГУСЛАВСЬКИЙ,станція КУРАХІВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,2034,68,4973.575418,9476.624754
станція ВАЛЯНІВСЬКИЙ,станція ДОВЖАНСЬКА,АНТРАЦИТ,611,4,898.2684124,557.6563011
станція ВОСКРЕСЕНСЬКА,станція ЛИМАН,АНТРАЦИТ,693,62,4149.522367,19813.76453
станція ВОСКРЕСЕНСЬКА,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,АНТРАЦИТ,299,86,8151.508361,59264.96873
станція ГРОДІВКА,станція ЖАШКІВ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",225,97,21002.01778,64301.31556
