sender,receiver,cargo,tot_no_wagons,median_speed_km_day,avrg_money_UAH,avrg_tkm
станція ЖЕРЕБКОВЕ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,401,67,9026.297257,18373.18299
станція ЖЕРЕБКОВЕ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,417,74,8928.91223,19300.80134
станція ЖЕРЕБКОВЕ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЯЧМЕНЬ,368,99,9119.835326,17344.49438
станція ЖЕРЕБКОВЕ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,575,59,11296.99635,20344.78243
станція ЖЕРЕБКОВЕ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,264,62,8932.273106,17072.38576
станція ЖАШКІВ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,231,134,8840.242424,40512.7103
станція ЖУРАВЛІВКА,станція ЧОРНОМОРСЬК-ПОРТ,ПШЕНИЦА,364,58,12968.54121,24019.35824
станція ЖУРАВЛІВКА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,329,88,8921.809726,23961.03587
станція ЖМЕРИНКА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,370,106,15643.09811,28095.65878
станція ЖМЕРИНКА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,273,106,12881.98645,28984.87546
станція ЖМЕРИНКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,885,113,16962.30814,29984.93701
станція ЖМЕРИНКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,440,113,17122.66114,30583.9625
станція ЖМЕРИНКА,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,250,100,12598.0952,26727.2112
