sender,receiver,cargo,tot_no_wagons,median_speed_km_day,avrg_money_UAH,avrg_tkm
станція ЗОЛОТНИШИНЕ,станція БАТЬОВО (ЕКСП. МАВ),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,18224,402,15444.41946,85358.31618
станція ЗОЛОТНИШИНЕ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,976,514,10661.19959,36105.34016
станція ЗОЛОТНИШИНЕ,станція ЧОП (ЕКСП. ЖСР),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,6563,304,16275.66774,85091.83727
станція ЗОЛОТНИШИНЕ,станція ЧОП (ЕКСП. ЧД),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,8246,304,16494.34217,85036.62304
станція ЗОЛОТНИШИНЕ,станція ЧОП (ЕКСП. ОББ),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,2382,303,20443.98165,84989.1738
станція ЗОЛОТНИШИНЕ,станція ІЗМАЇЛ  (ЕКСП.),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,5411,273,12503.08631,53576.05359
станція ЗОЛОТНИШИНЕ,станція УЖГОРОД (ЕКСП. ЖСР),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,6581,311,16642.65337,87176.45343
станція ЗОЛОТНИШИНЕ,станція УЖГОРОД (ЕКСП. ЧД),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,264,146.5,22221.4,87210.56061
станція ЗОЛОТНИШИНЕ,станція МОСТИСЬКА II (ЕКСП. ЧД),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,273,128,19764.67692,70422.51857
станція РЯДОВА,станція ЗАПОРІЖЖЯ-ЛІВЕ,КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),213,129,8682.4,18066.64836
станція РЯДОВА,станція ЗАПОРІЖЖЯ-ЛІВЕ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,3905,129,7482.134878,17703.21243
станція РЯДОВА,станція БЕРЕГОВА  (ЕКСП.),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),1755,535,12727.09425,37250.97558
станція РЯДОВА,станція БЕРЕГОВА  (ЕКСП.),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,7717,133,14421.64405,37222.85551
станція РЯДОВА,станція ЄНАКІЄВЕ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,2867,112,4793.490757,30351.26557
станція РЯДОВА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),915,175,13739.91475,36701.17273
станція РЯДОВА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,4213,175,12754.28813,36711.44795
станція РЯДОВА,станція АСЛАНОВЕ,КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),1709,133,13888.45138,37321.62595
станція РЯДОВА,станція КАМ’ЯНСЬКЕ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,1798,53,6014.283204,7247.057286
станція РЯДОВА,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,24254,168,9632.764682,37823.40978
станція РЯДОВА,станція САРТАНА,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,19827,136,8447.894886,36708.10166
станція РОКУВАТА,станція БАТЬОВО (ЕКСП. МАВ),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),1237,249,20352.86475,87385.72676
станція РОКУВАТА,станція ЧОП (ЕКСП. ЧД),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),15303,251,17299.80727,88103.65144
станція РОКУВАТА,станція ЧОП (ЕКСП. ЧД),"РУДА ЖЕЛЕЗНАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",258,251,11890.88372,88106.32171
станція РОКУВАТА,станція ІЗМАЇЛ  (ЕКСП.),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),2041,152,14205.5098,52889.68643
станція РОКУВАТА,станція ІЗОВ (ЕКСП. ПКП),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),18162,510,14307.89395,71433.24744
станція РОКУВАТА,станція ІЗОВ (ЕКСП. ПКП),"РУДА ЖЕЛЕЗНАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",2857,510,10203.27721,71464.26321
станція РОКУВАТА,станція АСЛАНОВЕ,РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),256,188,14160.92969,39457.96875
станція РОКУВАТА,станція УЖГОРОД (ЕКСП. ЖСР),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),19078,257,17916.0946,90204.62564
станція РОКУВАТА,станція УЖГОРОД (ЕКСП. ЖСР),"РУДА ЖЕЛЕЗНАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",3683,322,12332.24627,90170.50893
станція РОКУВАТА,станція КРИВИЙ РІГ,РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),479,9,4227.295407,1956.609603
станція РОКУВАТА,станція КАМ’ЯНСЬКЕ,РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),314,67,6913.16051,9443.980892
станція РОКУВАТА,станція МОСТИСЬКА II (ЕКСП. ЧД),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),2378,267,17331.07241,71263.37006
станція ВЕЧІРНИЙ КУТ,станція БАТЬОВО (ЕКСП. МАВ),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),1864,251,15079.23755,87868.51529
станція ВЕЧІРНИЙ КУТ,станція БАТЬОВО (ЕКСП. МАВ),"РУДА ЖЕЛЕЗНАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",523,418,11861.71128,87802.00765
станція ВЕЧІРНИЙ КУТ,станція ГОРЯЇНОВЕ,РУДА ЖЕЛЕЗНАЯ ДОМЕННАЯ,287,88,3357.547038,12272.16725
станція ВЕЧІРНИЙ КУТ,станція ЧОП (ЕКСП. ЧД),РУДА ЖЕЛЕЗНАЯ ДОМЕННАЯ,1041,126,22019.32248,88600.42988
станція ВЕЧІРНИЙ КУТ,станція ЧОП (ЕКСП. ЧД),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),4424,210,16463.36603,88568.01424
