sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція АРОМАТНА,станція КУРАХІВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,352,82,48.628473,35.888025,48.035687,37.374858
станція АРОМАТНА,станція СВІТЛОДАРСЬКЕ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,2724,127,48.628473,35.888025,48.460125,38.170116
станція АРОМАТНА,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,43,193,48.628473,35.888025,50.1397982,30.7534098
станція БЕРЕГОВА  (ЕКСП.),станція ДАРНИЦЯ,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,245,751,46.632276,31.044189,50.430674,30.643448
станція БЕРЕГОВА  (ЕКСП.),станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",47,203,46.632276,31.044189,47.20838,37.5633199
станція БОГУСЛАВСЬКИЙ,станція КРИВИЙ ТОРЕЦЬ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,41,117,48.444444,36.026667,48.409766,37.78366
станція ДАР’ЇВКА,станція ГОРОДНІЙ,АНТРАЦИТ,105,35.5,48.990905,31.3552719,48.771438,39.2796221
станція ДАР’ЇВКА,станція ЕЛЕКТРИЧНА,АНТРАЦИТ,47,51,48.990905,31.3552719,48.867694,37.755615
станція ДАР’ЇВКА,станція ФАЩІВКА,АНТРАЦИТ,149,40,48.990905,31.3552719,48.271485,38.617803
станція ДАР’ЇВКА,станція ЧЕРНІГІВ,АНТРАЦИТ,58,82,48.990905,31.3552719,51.4855,31.2666
станція ДОБРОПІЛЛЯ,станція ДОБРОТВІР,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,41,446,48.4481566,37.0757679,50.20584,24.386969
станція ДОБРОПІЛЛЯ,станція САРТАНА,КОНЦЕНТРАТ УГОЛЬНЫЙ,46,99,48.4481566,37.0757679,47.1536589,37.5740898
станція ДОБРОПІЛЛЯ,станція СВІТЛОДАРСЬКЕ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,137,173,48.4481566,37.0757679,48.460125,38.170116
станція ДОБРОПІЛЛЯ,станція ЯМНИЦЯ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,41,117,48.4481566,37.0757679,48.9855201,24.7113369
станція ЗБІРНА,станція ДАРНИЦЯ,АНТРАЦИТ,216,149,48.486559,39.09406,50.430674,30.643448
станція ЗБІРНА,станція ЧЕРНІГІВ,АНТРАЦИТ,113,217,48.486559,39.09406,51.4855,31.2666
станція ІЗОВ (ЕКСП. ПКП),станція ДОБРОТВІР,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",451,39,50.828474,24.059367,50.20584,24.386969
станція КАЛЬМІУС,станція АВДІЇВКА,УГОЛЬ КАМЕННЫЙ МАРКИ К-КОКСОВЫЙ,174,7,48.063889,37.881389,48.148889,37.733333
станція КАЛЬМІУС,станція МАКІЇВКА,УГОЛЬ КАМЕННЫЙ МАРКИ К-КОКСОВЫЙ,62,30,48.063889,37.881389,48.007681,37.9815461
станція КАРАХАШ,станція ЕЛЕКТРИЧНА,АНТРАЦИТ,104,61.5,48.132861,39.087217,48.867694,37.755615
станція КАРАХАШ,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,АНТРАЦИТ,41,150,48.132861,39.087217,50.1397982,30.7534098
станція КИПУЧА,станція ЕЛЕКТРИЧНА,АНТРАЦИТ,43,61,48.439332,38.699008,48.867694,37.755615
станція КРАСНИЙ ЛУЧ,станція ЕЛЕКТРИЧНА,АНТРАЦИТ,50,44,48.140955,38.9261811,48.867694,37.755615
станція КРИВИЙ ТОРЕЦЬ,станція ГОРЛІВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,100,36.5,48.409766,37.78366,48.311208,38.044173
станція КРИВИЙ ТОРЕЦЬ,станція СВІТЛОДАРСЬКЕ,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",130,32,48.409766,37.78366,48.460125,38.170116
станція МАКІЇВКА,станція ЕЛЕКТРИЧНА,АНТРАЦИТ,141,108,48.007681,37.9815461,48.867694,37.755615
станція МИКОЛАЇВКА-ДОНЕЦЬКА,станція БУРШТИН,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,1789,639,48.37885,36.3491541,49.217461,24.6477491
станція МИКОЛАЇВКА-ДОНЕЦЬКА,станція КРИВИЙ ТОРЕЦЬ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,47,85,48.37885,36.3491541,48.409766,37.78366
станція МИКОЛАЇВКА-ДОНЕЦЬКА,станція КУРАХІВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,238,54,48.37885,36.3491541,48.035687,37.374858
станція МИКОЛАЇВКА-ДОНЕЦЬКА,станція РОТИ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,43,98,48.37885,36.3491541,48.517778,38.221389
