sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція АРЦИЗ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,51,51,45.9968241,29.4199425,46.485545,30.748833
станція АРЦИЗ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,103,117,45.9968241,29.4199425,46.322273,30.629317
станція БАЛИН,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,204,131.5,48.90661,26.6346,46.36337,30.62144
станція БАЛІВКА,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,152,137,48.592971,34.84023,46.834899,31.967136
станція БАЛТА,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,1137,93.5,47.874574,29.625154,46.36337,30.62144
станція БАЛТА,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,308,65.5,47.874574,29.625154,46.36337,30.62144
станція БАЛТА,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,835,113,47.874574,29.625154,46.485545,30.748833
станція БАЛТА,станція ЧОРНОМОРСЬК-ПОРТ,ЗЕРНО КУКУРУЗЫ,108,45,47.874574,29.625154,46.32227,30.62932
станція БАЛТА,станція ЧОРНОМОРСЬК-ПОРТ,ПШЕНИЦА,106,165,47.874574,29.625154,46.32227,30.62932
станція БАЛТА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,191,124,47.874574,29.625154,46.322273,30.629317
станція БАЛТА,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ЗЕРНО КУКУРУЗЫ,208,113.5,47.874574,29.625154,46.82775,30.76
станція БАЛТА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,522,115.5,47.874574,29.625154,46.82775,30.76
станція БАР,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,206,180,49.036101,27.722638,46.36337,30.62144
станція БАР,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,54,144,49.036101,27.722638,46.36337,30.62144
станція БАР,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,418,121,49.036101,27.722638,46.322273,30.629317
