sender,receiver,median_speed_km_day,lat_sender,lon_sender,lat_receiver,lon_receiver
станція ВЕЧІРНИЙ КУТ,станція АСЛАНОВЕ,190,47.996036,33.4281881,47.245581,37.581294
станція ВЕЧІРНИЙ КУТ,станція БАТЬОВО (ЕКСП. МАВ),627,47.996036,33.4281881,48.3616037,22.3862198
станція ВЕЧІРНИЙ КУТ,станція ІЗОВ (ЕКСП. ПКП),513,47.996036,33.4281881,50.828474,24.059367
станція ВЕЧІРНИЙ КУТ,станція КОМУНАРСЬК,138,47.996036,33.4281881,48.483418,38.778808
станція ВЕЧІРНИЙ КУТ,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,192,47.996036,33.4281881,47.20838,37.5633199
станція ВЕЧІРНИЙ КУТ,станція МОСТИСЬКА II (ЕКСП. ЧД),538,47.996036,33.4281881,49.8166178,23.0325224
станція ВЕЧІРНИЙ КУТ,станція НІКОПОЛЬ,48.5,47.996036,33.4281881,47.5853703,34.3913662
станція ВЕЧІРНИЙ КУТ,станція УЖГОРОД (ЕКСП. ЖСР),431,47.996036,33.4281881,48.6094982,22.3006874
станція ВЕЧІРНИЙ КУТ,станція УЖГОРОД (ЕКСП. ЖСР),431,47.996036,33.4281881,48.6094982,22.3006874
станція ВЕЧІРНИЙ КУТ,станція УЖГОРОД (ЕКСП. ЧД),647,47.996036,33.4281881,48.6094982,22.3006874
станція ВЕЧІРНИЙ КУТ,станція ЧОП (ЕКСП. ЧД),632,47.996036,33.4281881,48.432477,22.2055633
станція ГРЕКУВАТА,станція БАТЬОВО (ЕКСП. МАВ),433,48.096038,33.390483,48.3616037,22.3862198
станція ГРЕКУВАТА,станція ІЗОВ (ЕКСП. ПКП),536,48.096038,33.390483,50.828474,24.059367
станція ГРЕКУВАТА,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,207,48.096038,33.390483,47.20838,37.5633199
станція ГРЕКУВАТА,станція МОСТИСЬКА II (ЕКСП. ПКП),187,48.096038,33.390483,49.8166178,23.0325224
станція ГРЕКУВАТА,станція МОСТИСЬКА II (ЕКСП. ЧД),224,48.096038,33.390483,49.8166178,23.0325224
станція ГРЕКУВАТА,станція МОСТИСЬКА II (ЕКСП. ЧД),561,48.096038,33.390483,49.8166178,23.0325224
станція ГРЕКУВАТА,станція РЕНІ (ЕКСП. ЧФР),185,48.096038,33.390483,45.457968,28.265869
станція ГРЕКУВАТА,станція РЕНІ (ЕКСП. ЧФР),148,48.096038,33.390483,45.457968,28.265869
станція ГРЕКУВАТА,станція САРТАНА,208,48.096038,33.390483,47.1536589,37.5740898
станція ГРЕКУВАТА,станція УЖГОРОД (ЕКСП. ЖСР),447,48.096038,33.390483,48.6094982,22.3006874
станція ГРЕКУВАТА,станція УЖГОРОД (ЕКСП. ЧД),447,48.096038,33.390483,48.6094982,22.3006874
станція ГРЕКУВАТА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),162,48.096038,33.390483,46.82775,30.76
станція ДНІПРОРУДНЕ,станція ІЗМАЇЛ  (ЕКСП.),246,47.174629,34.962825,45.3600096,28.812532
станція ДНІПРОРУДНЕ,станція КАМ’ЯНСЬКЕ,151,47.174629,34.962825,48.4974778,34.6042228
станція ЗАПОРІЖЖЯ II,станція АСЛАНОВЕ,155,47.82201,35.184535,47.245581,37.581294
станція ЗОЛОТНИШИНЕ,станція УЖГОРОД (ЕКСП. ЧД),192.5,49.018889,33.644722,48.6094982,22.3006874
станція ІНГУЛЕЦЬ,станція ЄНАКІЄВЕ,84.5,47.679167,33.142778,48.2259,38.203245
станція ІНГУЛЕЦЬ,станція МОСТИСЬКА II (ЕКСП. ЧД),232.5,47.679167,33.142778,49.8166178,23.0325224
станція ІНГУЛЕЦЬ,станція САРТАНА,78,47.679167,33.142778,47.1536589,37.5740898
станція ІНГУЛЕЦЬ,станція ЧОП (ЕКСП. ЖСР),217,47.679167,33.142778,48.432477,22.2055633
станція КРИВИЙ РІГ,станція ЄНАКІЄВЕ,119,47.880874,33.384342,48.2259,38.203245
станція КРИВИЙ РІГ,станція МОСТИСЬКА II (ЕКСП. ПКП),536,47.880874,33.384342,49.8166178,23.0325224
