sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція БЕХИ,станція БІЛИЙ КОЛОДЯЗЬ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,42,176,51.072889,28.677556,50.204024,37.103261
станція БЕХИ,станція ЗАПИТІВ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,51,116,51.072889,28.677556,49.920035,24.2236161
станція БЕХИ,станція НАДВІРНА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,43,206,51.072889,28.677556,48.6242545,24.5847443
станція БЕХИ,станція ПЕРЕЯСЛАВСЬКА,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,47,88,51.072889,28.677556,50.2639559,31.6561389
станція БЕХИ,станція ПЕРСЕНКІВКА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,92,52,51.072889,28.677556,49.8098013,24.030408
станція БЕХИ,станція САДГОРА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,42,47,51.072889,28.677556,48.332069,25.949382
станція БЕХИ,станція СКНИЛІВ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,44,148,51.072889,28.677556,49.818992,23.931606
станція БОЛЕСЛАВЧИК,станція АККАРЖА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,43,124,48.112439,30.784414,46.3322,30.55886
станція БОЛЕСЛАВЧИК,станція ЗАОСКІЛЛЯ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,42,171,48.112439,30.784414,49.708273,37.63754
станція БОЛЕСЛАВЧИК,станція ХАРКІВ-ЛІСКИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,50,62,48.112439,30.784414,49.959174,36.238248
станція БРАЇЛІВ,станція БЕРЕЗОВИЦЯ-ОСТРІВ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,95,81.5,49.0861866,28.1400596,49.490776,25.605512
станція БРАЇЛІВ,станція КОЗОВА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,58,134,49.0861866,28.1400596,49.4296637,25.1642181
станція БРАЇЛІВ,станція МАГАЛА (РЗД),ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,54,126,49.0861866,28.1400596,48.288608,26.0245891
станція БРАЇЛІВ,станція НАДВІРНА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,56,181,49.0861866,28.1400596,48.6242545,24.5847443
станція БРАЇЛІВ,станція ОДЕСА-ЗАСТАВА II,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,98,96.5,49.0861866,28.1400596,46.463065,30.684796
станція БРАЇЛІВ,станція ОДЕСА-ЛІСКИ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,108,125,49.0861866,28.1400596,46.522819,30.60268
станція БРАЇЛІВ,станція ОДЕСА-ЛІСКИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,124,109.5,49.0861866,28.1400596,46.522819,30.60268
станція БРАЇЛІВ,станція РОГАТИН,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,47,110,49.0861866,28.1400596,49.3997817,24.6214515
станція БРАЇЛІВ,станція ЦЕНЖІВ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,44,88,49.0861866,28.1400596,48.999803,24.596851
станція ВІННИЦЯ,станція ОДЕСА-ЛІСКИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,99,133.5,49.239428,28.5106651,46.522819,30.60268
станція ВІННИЦЯ,станція ПОРОМНА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,48,148,49.239428,28.5106651,46.39689,30.656375
станція ВІННИЦЯ,станція СОКАЛЬ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,46,169,49.239428,28.5106651,50.4649598,24.2574808
станція ВІННИЦЯ,станція ТЕРНОПІЛЬ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,42,88,49.239428,28.5106651,49.56629,25.592613
станція ВОЗНЕСЕНСЬК,станція ОДЕСА-ЛІСКИ,ПЕСОК СТРОИТЕЛЬНЫЙ,268,72,47.573511,31.3238392,46.522819,30.60268
станція ГНІВАНЬ,станція АККАРЖА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,138,145,49.1023539,28.3299434,46.3322,30.55886
станція ГНІВАНЬ,станція БЕРЕЗОВИЦЯ-ОСТРІВ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,48,83,49.1023539,28.3299434,49.490776,25.605512
станція ГНІВАНЬ,станція ГУМЕНЦІ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,50,112,49.1023539,28.3299434,48.770473,26.606396
станція ГНІВАНЬ,станція ДАЧНЕ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,46,128,49.1023539,28.3299434,50.8093821,25.4025522
