sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція АНТРАЦИТ,станція ЕЛЕКТРИЧНА,АНТРАЦИТ,284,43,48.109528,39.080852,48.867694,37.755615
станція АРОМАТНА,станція БУРШТИН,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,6847,414,48.628473,35.888025,49.217461,24.6477491
станція АРОМАТНА,станція ДОБРОТВІР,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,4496,400,48.628473,35.888025,50.20584,24.386969
станція АРОМАТНА,станція КУРАХІВКА,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,5952,82,48.628473,35.888025,48.035687,37.374858
станція АРОМАТНА,станція ЛАДИЖИН,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,6610,333,48.628473,35.888025,48.609462,29.1503679
станція АРОМАТНА,станція МОСПИНЕ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,1002,103,48.628473,35.888025,47.877058,38.061174
станція АРОМАТНА,станція РОСІЯ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,739,72,48.628473,35.888025,48.159167,37.360833
станція АРОМАТНА,станція СОРОЧЕ,УГОЛЬ КАМЕННЫЙ МАРКИ Г-ГАЗОВЫЙ,1083,85,48.628473,35.888025,48.040948,38.2787479
станція БЕРЕГОВА  (ЕКСП.),станція АВДІЇВКА,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",4521,292,46.632276,31.044189,48.148889,37.733333
станція БЕРЕГОВА  (ЕКСП.),станція ДАРНИЦЯ,АНТРАЦИТ,1604,375,46.632276,31.044189,50.430674,30.643448
станція БЕРЕГОВА  (ЕКСП.),станція ДАРНИЦЯ,УГОЛЬ КАМЕННЫЙ МАРКИ Т-ТОЩИЙ,1561,375,46.632276,31.044189,50.430674,30.643448
станція БЕРЕГОВА  (ЕКСП.),станція ЕНЕРГОДАР,"УГОЛЬ КАМЕННЫЙ,НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ",575,289,46.632276,31.044189,47.494636,34.64672
