sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція АЛІЯГА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЯЧМЕНЬ,365,73,45.7903506,29.1875561,46.82775,30.76
станція АНДРІЯШІВКА,станція ЛАДИЖИН,ЗЕРНО КУКУРУЗЫ,217,131,50.5700447,33.3703925,48.609462,29.1503679
станція АНДРІЯШІВКА,станція МИРОНІВКА,ПШЕНИЦА,465,117,50.5700447,33.3703925,49.678092,30.9119329
станція АНТОНІНИ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,224,141,49.790807,26.988522,46.485545,30.748833
станція АРЦИЗ,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,734,51,45.9968241,29.4199425,46.36337,30.62144
станція АРЦИЗ,станція КСЕНІЄВЕ (ЕКСП.),ЯЧМЕНЬ,611,51,45.9968241,29.4199425,46.36337,30.62144
станція АРЦИЗ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,985,78,45.9968241,29.4199425,46.322273,30.629317
станція АРЦИЗ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЯЧМЕНЬ,901,78,45.9968241,29.4199425,46.322273,30.629317
станція АРЦИЗ,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ПШЕНИЦА,323,84,45.9968241,29.4199425,46.82775,30.76
станція АРЦИЗ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,302,86,45.9968241,29.4199425,46.82775,30.76
станція АРЦИЗ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЯЧМЕНЬ,528,86,45.9968241,29.4199425,46.82775,30.76
станція БАЛИН,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,821,122,48.90661,26.6346,46.322273,30.629317
станція БАЛТА,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,568,75,47.874574,29.625154,46.36337,30.62144
станція БАЛТА,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,1110,75,47.874574,29.625154,46.36337,30.62144
станція БАЛТА,станція КСЕНІЄВЕ (ЕКСП.),ЯЧМЕНЬ,394,75,47.874574,29.625154,46.36337,30.62144
станція БАЛТА,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,814,56,47.874574,29.625154,46.485545,30.748833
станція БАЛТА,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,736,75,47.874574,29.625154,46.485545,30.748833
станція БАЛТА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,250,82,47.874574,29.625154,46.322273,30.629317
станція БАЛТА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,305,82,47.874574,29.625154,46.322273,30.629317
станція БАЛТА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,592,92,47.874574,29.625154,46.82775,30.76
станція БАЛТА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,403,92,47.874574,29.625154,46.82775,30.76
станція БАР,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,688,141,49.036101,27.722638,46.82775,30.76
станція БАРВІНКОВЕ,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,659,140,48.9014667,37.0181437,46.834899,31.967136
станція БАРВІНКОВЕ,станція ЗОЛОТОНОША I,ПШЕНИЦА,214,147,48.9014667,37.0181437,49.6564714,32.0774714
станція БАРВІНКОВЕ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,821,137,48.9014667,37.0181437,46.9575,31.975556
станція БАРИШІВКА,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,579,146,50.3469003,31.3166756,46.485545,30.748833
станція БАСИ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,444,143,50.862753,34.886865,46.9575,31.975556
станція БЕРДИЧІВ,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,317,135,49.8892838,28.6129448,46.36337,30.62144
станція БЕРДИЧІВ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,917,148,49.8892838,28.6129448,46.82775,30.76
станція БЕРЕЗИНЕ,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,342,47,46.230278,29.205833,46.36337,30.62144
станція БЕРЕЗИНЕ,станція КСЕНІЄВЕ (ЕКСП.),ЯЧМЕНЬ,355,63,46.230278,29.205833,46.36337,30.62144
станція БЕРЕЗИНЕ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,1045,80,46.230278,29.205833,46.485545,30.748833
станція БЕРЕЗИНЕ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,591,87,46.230278,29.205833,46.322273,30.629317
станція БЕРЕЗИНЕ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЯЧМЕНЬ,217,87,46.230278,29.205833,46.322273,30.629317
станція БЕРЕЗИНЕ,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ПШЕНИЦА,238,95,46.230278,29.205833,46.82775,30.76
станція БЕРЕЗІВКА,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,396,51,47.19249,30.94197,46.485545,30.748833
станція БЕРЕЗІВКА,станція ОДЕСА-ПОРТ  (ЕКСП.),ЯЧМЕНЬ,270,51,47.19249,30.94197,46.485545,30.748833
станція БЕРЕЗІВКА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,222,52,47.19249,30.94197,46.322273,30.629317
станція БЕРЕЗІВКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,401,45,47.19249,30.94197,46.82775,30.76
станція БЕРЕЗІВКА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЯЧМЕНЬ,261,45,47.19249,30.94197,46.82775,30.76
станція БЕРЕЗОВИЦЯ-ОСТРІВ,станція ГУМЕНЦІ,ЗЕРНО КУКУРУЗЫ,302,68,49.490776,25.605512,48.770473,26.606396
станція БЕРЕЗОВИЦЯ-ОСТРІВ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,367,136,49.490776,25.605512,46.82775,30.76
станція БІЛА КРИНИЦЯ,станція ГУМЕНЦІ,ПШЕНИЦА,253,139,47.3511476,33.1967766,48.770473,26.606396
станція БІЛА КРИНИЦЯ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,248,47,47.3511476,33.1967766,46.485545,30.748833
станція БІЛА КРИНИЦЯ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,226,45,47.3511476,33.1967766,46.82775,30.76
станція БІЛА ЦЕРКВА,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,474,128,49.8119045,30.1097162,46.36337,30.62144
станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,станція КСЕНІЄВЕ (ЕКСП.),ЯЧМЕНЬ,508,32,46.1851723,30.3377686,46.36337,30.62144
станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,330,58,46.1851723,30.3377686,46.485545,30.748833
станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,839,33,46.1851723,30.3377686,46.322273,30.629317
станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЯЧМЕНЬ,617,33,46.1851723,30.3377686,46.322273,30.629317
станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,454,56,46.1851723,30.3377686,46.82775,30.76
