sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція ВЕЧІРНИЙ КУТ,станція ГОРЯЇНОВЕ,РУДА ЖЕЛЕЗНАЯ ДОМЕННАЯ,652,88,47.996036,33.4281881,48.478592,34.983294
станція ВЕЧІРНИЙ КУТ,станція ІЗМАЇЛ  (ЕКСП.),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),311,150,47.996036,33.4281881,45.3600096,28.812532
станція ВЕЧІРНИЙ КУТ,станція НІКОПОЛЬ,РУДА ЖЕЛЕЗНАЯ ДОМЕННАЯ,1081,43,47.996036,33.4281881,47.5853703,34.3913662
станція ВЕЧІРНИЙ КУТ,станція УЖГОРОД (ЕКСП. ЖСР),РУДА ЖЕЛЕЗНАЯ ДОМЕННАЯ,494,143,47.996036,33.4281881,48.6094982,22.3006874
станція ВЕЧІРНИЙ КУТ,станція ЧОП (ЕКСП. ЧД),РУДА ЖЕЛЕЗНАЯ ДОМЕННАЯ,335,140,47.996036,33.4281881,48.432477,22.2055633
станція ВЕЧІРНИЙ КУТ,станція ЧОП (ЕКСП. ЧД),"РУДА ЖЕЛЕЗНАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",615,316,47.996036,33.4281881,48.432477,22.2055633
станція ГОРЯЇНОВЕ,станція МАРГАНЕЦЬ,ПЫЛЬ КОЛОШНИКОВАЯ (РУДНАЯ),208,61,48.478592,34.983294,47.6544363,34.6198112
станція ГРЕКУВАТА,станція ІЗОВ (ЕКСП. ПКП),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),6673,357,48.096038,33.390483,50.828474,24.059367
станція ГРЕКУВАТА,станція МОСТИСЬКА II (ЕКСП. ПКП),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,1691,280,48.096038,33.390483,49.8166178,23.0325224
станція ГРЕКУВАТА,станція РЕНІ (ЕКСП. ЧФР),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),3344,148,48.096038,33.390483,45.457968,28.265869
