sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція АДАБАШ,станція ОДЕСА-ЛІСКИ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,520,73,48.3542589,31.4806175,46.522819,30.60268
станція АДАБАШ,станція ОДЕСА-ЛІСКИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,284,73,48.3542589,31.4806175,46.522819,30.60268
станція БЕХИ,станція БРОВАРИ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,238,67,51.072889,28.677556,50.5147282,30.8132567
станція БЕХИ,станція КИЇВ-ДЕМІЇВСЬКИЙ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,890,97,51.072889,28.677556,50.4047454,30.5370509
станція БЕХИ,станція ПЕРСЕНКІВКА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,389,74,51.072889,28.677556,49.8098013,24.030408
станція БЕХИ,станція СОКАЛЬ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,216,122,51.072889,28.677556,50.4649598,24.2574808
станція БЕХИ,станція ЧЕРНІГІВ ПІВНІЧНИЙ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,1120,128,51.072889,28.677556,51.519809,31.248508
станція БОЛЕСЛАВЧИК,станція АККАРЖА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,1142,93,48.112439,30.784414,46.3322,30.55886
станція БОЛЕСЛАВЧИК,станція АРЦИЗ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,550,103,48.112439,30.784414,45.9968241,29.4199425
станція БОЛЕСЛАВЧИК,станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,211,85,48.112439,30.784414,46.1851723,30.3377686
станція БОЛЕСЛАВЧИК,станція БІЛГОРОД-ДНІСТРОВСЬКИЙ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,664,106,48.112439,30.784414,46.1851723,30.3377686
станція БОЛЕСЛАВЧИК,станція ДАЧНЕ,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,515,70,48.112439,30.784414,50.8093821,25.4025522
станція БОЛЕСЛАВЧИК,станція ДАЧНЕ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,737,70,48.112439,30.784414,50.8093821,25.4025522
станція БОЛЕСЛАВЧИК,станція ДЗИНІЛОР,ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ,237,103.5,48.112439,30.784414,45.65097,29.11494
станція БОЛЕСЛАВЧИК,станція ДЗИНІЛОР,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,382,81,48.112439,30.784414,45.65097,29.11494
станція БОЛЕСЛАВЧИК,станція ЗАОСКІЛЛЯ,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,207,137,48.112439,30.784414,49.708273,37.63754
станція БОЛЕСЛАВЧИК,станція ІНДУСТРІАЛЬНА,ЩЕБЕНЬ ГРАНИТНЫЙ НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ,843,143,48.112439,30.784414,49.962852,36.391769
