sender,lat_sender,lon_sender,no_wagons,receiver,lat_receiver,lon_receiver
станція АРОМАТНА,48.628473,35.888025,78242,станція БУРШТИН,49.217461,24.6477491
станція АРОМАТНА,48.628473,35.888025,78242,станція ДОБРОПІЛЛЯ,48.4481566,37.0757679
станція АРОМАТНА,48.628473,35.888025,78242,станція ДОБРОТВІР,50.20584,24.386969
станція АРОМАТНА,48.628473,35.888025,78242,станція ЕНЕРГОДАР,47.494636,34.64672
станція АРОМАТНА,48.628473,35.888025,78242,станція ІГРЕНЬ,48.472213,35.18905
станція АРОМАТНА,48.628473,35.888025,78242,станція КРИВИЙ ТОРЕЦЬ,48.409766,37.78366
станція АРОМАТНА,48.628473,35.888025,78242,станція КУРАХІВКА,48.035687,37.374858
станція АРОМАТНА,48.628473,35.888025,78242,станція ЛАДИЖИН,48.609462,29.1503679
станція АРОМАТНА,48.628473,35.888025,78242,станція МОСПИНЕ,47.877058,38.061174
станція АРОМАТНА,48.628473,35.888025,78242,станція ПОКРОВСЬК,48.285102,37.1816185
станція АРОМАТНА,48.628473,35.888025,78242,станція РОДИНСЬКА,48.362572,37.198645
станція АРОМАТНА,48.628473,35.888025,78242,станція РОЯ,47.989332,37.306483
станція АРОМАТНА,48.628473,35.888025,78242,станція СВІТЛОДАРСЬКЕ,48.460125,38.170116
станція АРОМАТНА,48.628473,35.888025,78242,станція СОРОЧЕ,48.040948,38.2787479
станція АРОМАТНА,48.628473,35.888025,78242,станція ЧЕРКАСИ,49.425949,32.0498809
станція БЕРЕГОВА  (ЕКСП.),46.632276,31.044189,50181,станція АВДІЇВКА,48.148889,37.733333
станція БЕРЕГОВА  (ЕКСП.),46.632276,31.044189,50181,станція ДАРНИЦЯ,50.430674,30.643448
станція БЕРЕГОВА  (ЕКСП.),46.632276,31.044189,50181,станція ЗАПОРІЖЖЯ-КАМ’ЯНСЬКЕ,48.4808925,34.6462622
станція БЕРЕГОВА  (ЕКСП.),46.632276,31.044189,50181,станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334
станція БЕРЕГОВА  (ЕКСП.),46.632276,31.044189,50181,станція ЗЕЛЕНЕ ПОЛЕ,48.057999,33.6329791
