sender,lat_sender,lon_sender,no_wagons,receiver,lat_receiver,lon_receiver
станція ВЕЧІРНИЙ КУТ,47.996036,33.4281881,41258,станція БАТЬОВО (ЕКСП. МАВ),48.3616037,22.3862198
станція ВЕЧІРНИЙ КУТ,47.996036,33.4281881,41258,станція ІЗМАЇЛ  (ЕКСП.),45.3600096,28.812532
станція ВЕЧІРНИЙ КУТ,47.996036,33.4281881,41258,станція ІЗОВ (ЕКСП. ПКП),50.828474,24.059367
станція ВЕЧІРНИЙ КУТ,47.996036,33.4281881,41258,станція КРИВИЙ РІГ,47.880874,33.384342
станція ВЕЧІРНИЙ КУТ,47.996036,33.4281881,41258,станція НІКОПОЛЬ,47.5853703,34.3913662
станція ВЕЧІРНИЙ КУТ,47.996036,33.4281881,41258,станція УЖГОРОД (ЕКСП. ЖСР),48.6094982,22.3006874
станція ВЕЧІРНИЙ КУТ,47.996036,33.4281881,41258,станція ЧОП (ЕКСП. ЧД),48.432477,22.2055633
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція БАТЬОВО (ЕКСП. МАВ),48.3616037,22.3862198
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція БЕРЕГОВА  (ЕКСП.),46.632276,31.044189
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція ІЗОВ (ЕКСП. ПКП),50.828474,24.059367
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція МОСТИСЬКА II (ЕКСП. ПКП),49.8166178,23.0325224
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція МОСТИСЬКА II (ЕКСП. ЧД),49.8166178,23.0325224
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція РЕНІ (ЕКСП. ЧФР),45.457968,28.265869
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція САРТАНА,47.1536589,37.5740898
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція УЖГОРОД (ЕКСП. ЖСР),48.6094982,22.3006874
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція УЖГОРОД (ЕКСП. ЧД),48.6094982,22.3006874
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція ЧОП (ЕКСП. ЖСР),48.432477,22.2055633
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція ЧОП (ЕКСП. ЧД),48.432477,22.2055633
станція ГРЕКУВАТА,48.096038,33.390483,118548,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція ДНІПРОРУДНЕ,47.174629,34.962825,73969,станція ЗАПОРІЖЖЯ-ЛІВЕ,47.86944,35.1917334
станція ДНІПРОРУДНЕ,47.174629,34.962825,73969,станція ІЗОВ (ЕКСП. ПКП),50.828474,24.059367
станція ДНІПРОРУДНЕ,47.174629,34.962825,73969,станція МОСТИСЬКА II (ЕКСП. ПКП),49.8166178,23.0325224
станція ДНІПРОРУДНЕ,47.174629,34.962825,73969,станція МОСТИСЬКА II (ЕКСП. ЧД),49.8166178,23.0325224
станція ДНІПРОРУДНЕ,47.174629,34.962825,73969,станція ЧОП (ЕКСП. ЖСР),48.432477,22.2055633
станція ДНІПРОРУДНЕ,47.174629,34.962825,73969,станція ЧОП (ЕКСП. ЧД),48.432477,22.2055633
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,90735,станція БАТЬОВО (ЕКСП. МАВ),48.3616037,22.3862198
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,90735,станція ІЗМАЇЛ  (ЕКСП.),45.3600096,28.812532
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,90735,станція УЖГОРОД (ЕКСП. ЖСР),48.6094982,22.3006874
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,90735,станція ЧОП (ЕКСП. ЖСР),48.432477,22.2055633
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,90735,станція ЧОП (ЕКСП. ОББ),48.432477,22.2055633
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,90735,станція ЧОП (ЕКСП. ЧД),48.432477,22.2055633
станція ЗОЛОТНИШИНЕ,49.018889,33.644722,90735,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),46.82775,30.76
станція ІНГУЛЕЦЬ,47.679167,33.142778,118445,станція АСЛАНОВЕ,47.245581,37.581294
станція ІНГУЛЕЦЬ,47.679167,33.142778,118445,станція БЕРДЯНСЬК,46.7510056,36.8036004
станція ІНГУЛЕЦЬ,47.679167,33.142778,118445,станція БЕРЕГОВА,46.632276,31.044189
